"Locus Tag","Gene Name","Product Description","Strain Name","Accession","GO Term","Namespace","GO Evidence Code","Evidence Ontology ECO Code","Evidence Ontology Term","Similar To \ Binds To","PMID"
"CLM75_RS01710","ntrC","nitrogen regulation protein NR(I)","Pseudomonas lurida MYb11","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00158","PMID:24451626"
"CLM75_RS01710","ntrC","nitrogen regulation protein NR(I)","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00158","PMID:24451626"
"CLM75_RS01710","ntrC","nitrogen regulation protein NR(I)","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00158","PMID:24451626"
"CLM75_RS01710","ntrC","nitrogen regulation protein NR(I)","Pseudomonas lurida MYb11","GO:0008134","transcription factor binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00158","PMID:24451626"
"CLM75_RS01710","ntrC","nitrogen regulation protein NR(I)","Pseudomonas lurida MYb11","GO:0000156","phosphorelay response regulator activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01818","PMID:24451626"
"CLM75_RS01710","ntrC","nitrogen regulation protein NR(I)","Pseudomonas lurida MYb11","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01818","PMID:24451626"
"CLM75_RS01710","ntrC","nitrogen regulation protein NR(I)","Pseudomonas lurida MYb11","GO:0006808","regulation of nitrogen utilization","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01818","PMID:24451626"
"CLM75_RS01715","CLM75_RS01715","nitrogen regulation protein NR(II)","Pseudomonas lurida MYb11","GO:0000155","phosphorelay sensor kinase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00388","PMID:24451626"
"CLM75_RS01715","CLM75_RS01715","nitrogen regulation protein NR(II)","Pseudomonas lurida MYb11","GO:0007165","signal transduction","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00388","PMID:24451626"
"CLM75_RS01715","CLM75_RS01715","nitrogen regulation protein NR(II)","Pseudomonas lurida MYb11","GO:0016310","phosphorylation","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00344","PMID:24451626"
"CLM75_RS01715","CLM75_RS01715","nitrogen regulation protein NR(II)","Pseudomonas lurida MYb11","GO:0016772","transferase activity, transferring phosphorus-containing groups","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00344","PMID:24451626"
"CLM75_RS01720","CLM75_RS01720","chorismate mutase","Pseudomonas lurida MYb11","GO:0046417","chorismate metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:1.20.59.10","PMID:24451626"
"CLM75_RS01725","glnA","type I glutamate--ammonia ligase","Pseudomonas lurida MYb11","GO:0004356","glutamate-ammonia ligase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM01230","PMID:24451626"
"CLM75_RS01725","glnA","type I glutamate--ammonia ligase","Pseudomonas lurida MYb11","GO:0006807","nitrogen compound metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM01230","PMID:24451626"
"CLM75_RS01725","glnA","type I glutamate--ammonia ligase","Pseudomonas lurida MYb11","GO:0003824","catalytic activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF55931","PMID:24451626"
"CLM75_RS01725","glnA","type I glutamate--ammonia ligase","Pseudomonas lurida MYb11","GO:0006542","glutamine biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF03951","PMID:24451626"
"CLM75_RS01730","CLM75_RS01730","tRNA 4-thiouridine(8) synthase ThiI","Pseudomonas lurida MYb11","GO:0004810","tRNA adenylyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd01712","PMID:24451626"
"CLM75_RS01730","CLM75_RS01730","tRNA 4-thiouridine(8) synthase ThiI","Pseudomonas lurida MYb11","GO:0016783","sulfurtransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00021","PMID:24451626"
"CLM75_RS01730","CLM75_RS01730","tRNA 4-thiouridine(8) synthase ThiI","Pseudomonas lurida MYb11","GO:0034227","tRNA thio-modification","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00021","PMID:24451626"
"CLM75_RS01730","CLM75_RS01730","tRNA 4-thiouridine(8) synthase ThiI","Pseudomonas lurida MYb11","GO:0003723","RNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02926","PMID:24451626"
"CLM75_RS01730","CLM75_RS01730","tRNA 4-thiouridine(8) synthase ThiI","Pseudomonas lurida MYb11","GO:0052837","thiazole biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR04271","PMID:24451626"
"CLM75_RS01735","typA","translational GTPase TypA","Pseudomonas lurida MYb11","GO:0003924","GTPase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00315","PMID:24451626"
"CLM75_RS01735","typA","translational GTPase TypA","Pseudomonas lurida MYb11","GO:0005525","GTP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00315","PMID:24451626"
"CLM75_RS01745","CLM75_RS01745","glycogen phosphorylase","Pseudomonas lurida MYb11","GO:0005975","carbohydrate metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00343","PMID:24451626"
"CLM75_RS01745","CLM75_RS01745","glycogen phosphorylase","Pseudomonas lurida MYb11","GO:0008184","glycogen phosphorylase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00343","PMID:24451626"
"CLM75_RS01745","CLM75_RS01745","glycogen phosphorylase","Pseudomonas lurida MYb11","GO:0004645","1,4-alpha-oligoglucan phosphorylase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR02093","PMID:24451626"
"CLM75_RS01745","CLM75_RS01745","glycogen phosphorylase","Pseudomonas lurida MYb11","GO:0030170","pyridoxal phosphate binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR02093","PMID:24451626"
"CLM75_RS01760","CLM75_RS01760","class 1 fructose-bisphosphatase","Pseudomonas lurida MYb11","GO:0005975","carbohydrate metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_01855","PMID:24451626"
"CLM75_RS01760","CLM75_RS01760","class 1 fructose-bisphosphatase","Pseudomonas lurida MYb11","GO:0016791","phosphatase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_01855","PMID:24451626"
"CLM75_RS01760","CLM75_RS01760","class 1 fructose-bisphosphatase","Pseudomonas lurida MYb11","GO:0042132","fructose 1,6-bisphosphate 1-phosphatase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00115","PMID:24451626"
"CLM75_RS01775","CLM75_RS01775","formimidoylglutamate deiminase","Pseudomonas lurida MYb11","GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:2.30.40.10","PMID:24451626"
"CLM75_RS01775","CLM75_RS01775","formimidoylglutamate deiminase","Pseudomonas lurida MYb11","GO:0016787","hydrolase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01979","PMID:24451626"
"CLM75_RS01780","hutC","histidine utilization repressor","Pseudomonas lurida MYb11","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00035","PMID:24451626"
"CLM75_RS01780","hutC","histidine utilization repressor","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00035","PMID:24451626"
"CLM75_RS01780","hutC","histidine utilization repressor","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00035","PMID:24451626"
"CLM75_RS01780","hutC","histidine utilization repressor","Pseudomonas lurida MYb11","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00866","PMID:24451626"
"CLM75_RS01780","hutC","histidine utilization repressor","Pseudomonas lurida MYb11","GO:0006547","histidine metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR02018","PMID:24451626"
"CLM75_RS01780","hutC","histidine utilization repressor","Pseudomonas lurida MYb11","GO:0045892","negative regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR02018","PMID:24451626"
"CLM75_RS01780","hutC","histidine utilization repressor","Pseudomonas lurida MYb11","GO:0045892","negative regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR02018","PMID:24451626"
"CLM75_RS01790","hutU","urocanate hydratase","Pseudomonas lurida MYb11","GO:0016153","urocanate hydratase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR12216","PMID:24451626"
"CLM75_RS01795","CLM75_RS01795","cytosine permease","Pseudomonas lurida MYb11","GO:0016021","integral component of membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR31806","PMID:24451626"
"CLM75_RS01795","CLM75_RS01795","cytosine permease","Pseudomonas lurida MYb11","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR31806","PMID:24451626"
"CLM75_RS01795","CLM75_RS01795","cytosine permease","Pseudomonas lurida MYb11","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR31806","PMID:24451626"
"CLM75_RS01795","CLM75_RS01795","cytosine permease","Pseudomonas lurida MYb11","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02133","PMID:24451626"
"CLM75_RS01800","CLM75_RS01800","histidine ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04069","PMID:24451626"
"CLM75_RS01800","CLM75_RS01800","histidine ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0043190","ATP-binding cassette (ABC) transporter complex","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04069","PMID:24451626"
"CLM75_RS01800","CLM75_RS01800","histidine ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04069","PMID:24451626"
"CLM75_RS01805","CLM75_RS01805","ABC transporter permease","Pseudomonas lurida MYb11","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd06261","PMID:24451626"
"CLM75_RS01805","CLM75_RS01805","ABC transporter permease","Pseudomonas lurida MYb11","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd06261","PMID:24451626"
"CLM75_RS01810","CLM75_RS01810","glycine betaine/L-proline ABC transporter ATP-binding protein","Pseudomonas lurida MYb11","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01186","PMID:24451626"
"CLM75_RS01810","CLM75_RS01810","glycine betaine/L-proline ABC transporter ATP-binding protein","Pseudomonas lurida MYb11","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01186","PMID:24451626"
"CLM75_RS01810","CLM75_RS01810","glycine betaine/L-proline ABC transporter ATP-binding protein","Pseudomonas lurida MYb11","GO:0031460","glycine betaine transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01186","PMID:24451626"
"CLM75_RS01815","hutH","histidine ammonia-lyase","Pseudomonas lurida MYb11","GO:0004397","histidine ammonia-lyase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01225","PMID:24451626"
"CLM75_RS01815","hutH","histidine ammonia-lyase","Pseudomonas lurida MYb11","GO:0005737","cytoplasm","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01225","PMID:24451626"
"CLM75_RS01815","hutH","histidine ammonia-lyase","Pseudomonas lurida MYb11","GO:0006548","histidine catabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01225","PMID:24451626"
"CLM75_RS01815","hutH","histidine ammonia-lyase","Pseudomonas lurida MYb11","GO:0003824","catalytic activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF48557","PMID:24451626"
"CLM75_RS01820","hutH","histidine ammonia-lyase","Pseudomonas lurida MYb11","GO:0004397","histidine ammonia-lyase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00229","PMID:24451626"
"CLM75_RS01820","hutH","histidine ammonia-lyase","Pseudomonas lurida MYb11","GO:0005737","cytoplasm","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00229","PMID:24451626"
"CLM75_RS01820","hutH","histidine ammonia-lyase","Pseudomonas lurida MYb11","GO:0006548","histidine catabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00229","PMID:24451626"
"CLM75_RS01820","hutH","histidine ammonia-lyase","Pseudomonas lurida MYb11","GO:0003824","catalytic activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF48557","PMID:24451626"
"CLM75_RS01825","proY","proline-specific permease ProY","Pseudomonas lurida MYb11","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00324","PMID:24451626"
"CLM75_RS01825","proY","proline-specific permease ProY","Pseudomonas lurida MYb11","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00324","PMID:24451626"
"CLM75_RS01830","CLM75_RS01830","imidazolonepropionase","Pseudomonas lurida MYb11","GO:0005737","cytoplasm","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01224","PMID:24451626"
"CLM75_RS01830","CLM75_RS01830","imidazolonepropionase","Pseudomonas lurida MYb11","GO:0016812","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01224","PMID:24451626"
"CLM75_RS01830","CLM75_RS01830","imidazolonepropionase","Pseudomonas lurida MYb11","GO:0019556","histidine catabolic process to glutamate and formamide","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01224","PMID:24451626"
"CLM75_RS01830","CLM75_RS01830","imidazolonepropionase","Pseudomonas lurida MYb11","GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF51338","PMID:24451626"
"CLM75_RS01830","CLM75_RS01830","imidazolonepropionase","Pseudomonas lurida MYb11","GO:0016787","hydrolase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01979","PMID:24451626"
"CLM75_RS01840","CLM75_RS01840","choline ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04069","PMID:24451626"
"CLM75_RS01840","CLM75_RS01840","choline ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0043190","ATP-binding cassette (ABC) transporter complex","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04069","PMID:24451626"
"CLM75_RS01840","CLM75_RS01840","choline ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04069","PMID:24451626"
"CLM75_RS01840","CLM75_RS01840","choline ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0015871","choline transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd13640","PMID:24451626"
"CLM75_RS01840","CLM75_RS01840","choline ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0033265","choline binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd13640","PMID:24451626"
"CLM75_RS01840","CLM75_RS01840","choline ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0042597","periplasmic space","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd13640","PMID:24451626"
"CLM75_RS01845","CLM75_RS01845","lipase","Pseudomonas lurida MYb11","GO:0016787","hydrolase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF07859","PMID:24451626"
"CLM75_RS01850","pip","prolyl aminopeptidase","Pseudomonas lurida MYb11","GO:0006508","proteolysis","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00793","PMID:24451626"
"CLM75_RS01850","pip","prolyl aminopeptidase","Pseudomonas lurida MYb11","GO:0008233","peptidase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00793","PMID:24451626"
"CLM75_RS01850","pip","prolyl aminopeptidase","Pseudomonas lurida MYb11","GO:0004177","aminopeptidase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR43722","PMID:24451626"
"CLM75_RS01850","pip","prolyl aminopeptidase","Pseudomonas lurida MYb11","GO:0005737","cytoplasm","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR43722","PMID:24451626"
"CLM75_RS01855","CLM75_RS01855","D-tyrosyl-tRNA(Tyr) deacylase","Pseudomonas lurida MYb11","GO:0002161","aminoacyl-tRNA editing activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR10472","PMID:24451626"
"CLM75_RS01855","CLM75_RS01855","D-tyrosyl-tRNA(Tyr) deacylase","Pseudomonas lurida MYb11","GO:0005737","cytoplasm","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR10472","PMID:24451626"
"CLM75_RS01855","CLM75_RS01855","D-tyrosyl-tRNA(Tyr) deacylase","Pseudomonas lurida MYb11","GO:0051499","D-aminoacyl-tRNA deacylase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR10472","PMID:24451626"
"CLM75_RS01860","CLM75_RS01860","glucan biosynthesis protein G","Pseudomonas lurida MYb11","GO:0030246","carbohydrate binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:2.70.98.10","PMID:24451626"
"CLM75_RS01860","CLM75_RS01860","glucan biosynthesis protein G","Pseudomonas lurida MYb11","GO:0016051","carbohydrate biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04349","PMID:24451626"
"CLM75_RS01860","CLM75_RS01860","glucan biosynthesis protein G","Pseudomonas lurida MYb11","GO:0042597","periplasmic space","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04349","PMID:24451626"
"CLM75_RS01860","CLM75_RS01860","glucan biosynthesis protein G","Pseudomonas lurida MYb11","GO:0003824","catalytic activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF74650","PMID:24451626"
"CLM75_RS01860","CLM75_RS01860","glucan biosynthesis protein G","Pseudomonas lurida MYb11","GO:0005975","carbohydrate metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF74650","PMID:24451626"
"CLM75_RS01865","CLM75_RS01865","glucans biosynthesis glucosyltransferase MdoH","Pseudomonas lurida MYb11","GO:0016758","transferase activity, transferring hexosyl groups","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_01072","PMID:24451626"
"CLM75_RS01865","CLM75_RS01865","glucans biosynthesis glucosyltransferase MdoH","Pseudomonas lurida MYb11","GO:0016758","hexosyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_01072","PMID:24451626"
"CLM75_RS01870","CLM75_RS01870","amino acid ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0015276","ligand-gated ion channel activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00079","PMID:24451626"
"CLM75_RS01870","CLM75_RS01870","amino acid ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00079","PMID:24451626"
"CLM75_RS01875","CLM75_RS01875","amino acid ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0015276","ligand-gated ion channel activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00079","PMID:24451626"
"CLM75_RS01875","CLM75_RS01875","amino acid ABC transporter substrate-binding protein","Pseudomonas lurida MYb11","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00079","PMID:24451626"
"CLM75_RS01880","CLM75_RS01880","amino acid ABC transporter permease","Pseudomonas lurida MYb11","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd06261","PMID:24451626"
"CLM75_RS01880","CLM75_RS01880","amino acid ABC transporter permease","Pseudomonas lurida MYb11","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd06261","PMID:24451626"
"CLM75_RS01880","CLM75_RS01880","amino acid ABC transporter permease","Pseudomonas lurida MYb11","GO:0016021","integral component of membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01726","PMID:24451626"
"CLM75_RS01880","CLM75_RS01880","amino acid ABC transporter permease","Pseudomonas lurida MYb11","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01726","PMID:24451626"
"CLM75_RS01880","CLM75_RS01880","amino acid ABC transporter permease","Pseudomonas lurida MYb11","GO:0043190","ATP-binding cassette (ABC) transporter complex","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01726","PMID:24451626"
"CLM75_RS01880","CLM75_RS01880","amino acid ABC transporter permease","Pseudomonas lurida MYb11","GO:0071705","nitrogen compound transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01726","PMID:24451626"
"CLM75_RS01885","CLM75_RS01885","amino acid ABC transporter ATP-binding protein","Pseudomonas lurida MYb11","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00005","PMID:24451626"
"CLM75_RS01885","CLM75_RS01885","amino acid ABC transporter ATP-binding protein","Pseudomonas lurida MYb11","GO:0003333","amino acid transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF039085","PMID:24451626"
"CLM75_RS01885","CLM75_RS01885","amino acid ABC transporter ATP-binding protein","Pseudomonas lurida MYb11","GO:0015424","ATPase-coupled amino acid transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF039085","PMID:24451626"
"CLM75_RS01885","CLM75_RS01885","amino acid ABC transporter ATP-binding protein","Pseudomonas lurida MYb11","GO:0015424","ABC-type amino acid transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF039085","PMID:24451626"
"CLM75_RS01890","CLM75_RS01890","methyl-accepting chemotaxis protein","Pseudomonas lurida MYb11","GO:0007165","signal transduction","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00304","PMID:24451626"
"CLM75_RS01890","CLM75_RS01890","methyl-accepting chemotaxis protein","Pseudomonas lurida MYb11","GO:0016021","integral component of membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00304","PMID:24451626"
"CLM75_RS01890","CLM75_RS01890","methyl-accepting chemotaxis protein","Pseudomonas lurida MYb11","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00283","PMID:24451626"
"CLM75_RS01890","CLM75_RS01890","methyl-accepting chemotaxis protein","Pseudomonas lurida MYb11","GO:0004888","transmembrane signaling receptor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00260","PMID:24451626"
"CLM75_RS01890","CLM75_RS01890","methyl-accepting chemotaxis protein","Pseudomonas lurida MYb11","GO:0006935","chemotaxis","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00260","PMID:24451626"
"CLM75_RS01895","CLM75_RS01895","methyl-accepting chemotaxis protein","Pseudomonas lurida MYb11","GO:0007165","signal transduction","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00304","PMID:24451626"
"CLM75_RS01895","CLM75_RS01895","methyl-accepting chemotaxis protein","Pseudomonas lurida MYb11","GO:0016021","integral component of membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00304","PMID:24451626"
"CLM75_RS01895","CLM75_RS01895","methyl-accepting chemotaxis protein","Pseudomonas lurida MYb11","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00283","PMID:24451626"
"CLM75_RS01895","CLM75_RS01895","methyl-accepting chemotaxis protein","Pseudomonas lurida MYb11","GO:0004888","transmembrane signaling receptor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00260","PMID:24451626"
